
Dataset Summary: Breakout_1000: 1 episodes, 1000 steps.
Episodes: 1
Total Steps: 1000
Reward Counts: -1=0, 0=970, +1=30
End Counts: not_ended=1000, ended=0

================================================================================
Episode 0
================================================================================
Length: 1000 steps
Return: 51.00
Info: {}

First 1000 steps:
--------------------------------------------------------------------------------
Step   Obs Mean     Obs Std      Action   Reward   End   Trunc
--------------------------------------------------------------------------------
0      -0.6804      0.4785       3        0.00     0     0    
1      -0.6799      0.4785       3        0.00     0     0    
2      -0.6798      0.4786       3        0.00     0     0    
3      -0.6798      0.4785       1        0.00     0     0    
4      -0.6800      0.4785       3        0.00     0     0    
5      -0.6796      0.4785       3        0.00     0     0    
6      -0.6801      0.4785       1        0.00     0     0    
7      -0.6801      0.4785       3        0.00     0     0    
8      -0.6801      0.4785       2        0.00     0     0    
9      -0.6796      0.4786       1        0.00     0     0    
10     -0.6800      0.4784       3        0.00     0     0    
11     -0.6796      0.4786       2        0.00     0     0    
12     -0.6796      0.4785       2        0.00     0     0    
13     -0.6796      0.4785       2        0.00     0     0    
14     -0.6795      0.4786       2        0.00     0     0    
15     -0.6796      0.4785       2        0.00     0     0    
16     -0.6795      0.4785       2        0.00     0     0    
17     -0.6795      0.4785       0        0.00     0     0    
18     -0.6805      0.4785       1        0.00     0     0    
19     -0.6806      0.4786       1        0.00     0     0    
20     -0.6806      0.4784       1        0.00     0     0    
21     -0.6806      0.4785       2        0.00     0     0    
22     -0.6809      0.4783       1        0.00     0     0    
23     -0.6809      0.4783       0        0.00     0     0    
24     -0.6809      0.4784       3        0.00     0     0    
25     -0.6809      0.4783       3        0.00     0     0    
26     -0.6795      0.4786       0        0.00     0     0    
27     -0.6800      0.4785       0        0.00     0     0    
28     -0.6801      0.4784       3        0.00     0     0    
29     -0.6795      0.4785       3        0.00     0     0    
30     -0.6795      0.4785       1        0.00     0     0    
31     -0.6800      0.4785       1        0.00     0     0    
32     -0.6801      0.4784       0        0.00     0     0    
33     -0.6801      0.4784       1        0.00     0     0    
34     -0.6801      0.4785       0        1.00     0     0    
35     -0.6801      0.4785       0        0.00     0     0    
36     -0.6832      0.4775       1        0.00     0     0    
37     -0.6832      0.4775       3        0.00     0     0    
38     -0.6827      0.4776       3        0.00     0     0    
39     -0.6827      0.4776       2        0.00     0     0    
40     -0.6828      0.4776       0        0.00     0     0    
41     -0.6831      0.4776       2        0.00     0     0    
42     -0.6827      0.4776       2        0.00     0     0    
43     -0.6827      0.4776       1        0.00     0     0    
44     -0.6831      0.4775       3        0.00     0     0    
45     -0.6828      0.4775       0        0.00     0     0    
46     -0.6831      0.4775       3        0.00     0     0    
47     -0.6827      0.4775       3        0.00     0     0    
48     -0.6827      0.4775       3        0.00     0     0    
49     -0.6826      0.4777       3        0.00     0     0    
50     -0.6832      0.4776       1        0.00     0     0    
51     -0.6832      0.4776       1        0.00     0     0    
52     -0.6832      0.4775       1        0.00     0     0    
53     -0.6832      0.4776       0        0.00     0     0    
54     -0.6832      0.4775       1        0.00     0     0    
55     -0.6832      0.4776       0        0.00     0     0    
56     -0.6832      0.4776       2        0.00     0     0    
57     -0.6827      0.4776       2        0.00     0     0    
58     -0.6827      0.4776       1        0.00     0     0    
59     -0.6831      0.4775       1        0.00     0     0    
60     -0.6832      0.4776       1        0.00     0     0    
61     -0.6832      0.4775       0        0.00     0     0    
62     -0.6832      0.4775       3        0.00     0     0    
63     -0.6828      0.4776       1        0.00     0     0    
64     -0.6831      0.4775       2        0.00     0     0    
65     -0.6827      0.4777       2        0.00     0     0    
66     -0.6826      0.4776       1        0.00     0     0    
67     -0.6831      0.4775       0        0.00     0     0    
68     -0.6832      0.4775       2        0.00     0     0    
69     -0.6827      0.4776       3        0.00     0     0    
70     -0.6828      0.4776       3        0.00     0     0    
71     -0.6826      0.4776       0        0.00     0     0    
72     -0.6831      0.4776       1        0.00     0     0    
73     -0.6831      0.4776       0        1.00     0     0    
74     -0.6823      0.4774       1        0.00     0     0    
75     -0.6828      0.4769       0        0.00     0     0    
76     -0.6828      0.4768       1        0.00     0     0    
77     -0.6828      0.4768       1        0.00     0     0    
78     -0.6828      0.4768       1        0.00     0     0    
79     -0.6828      0.4769       0        0.00     0     0    
80     -0.6828      0.4768       2        0.00     0     0    
81     -0.6823      0.4768       1        0.00     0     0    
82     -0.6827      0.4768       0        0.00     0     0    
83     -0.6828      0.4768       3        0.00     0     0    
84     -0.6823      0.4769       0        0.00     0     0    
85     -0.6827      0.4769       3        0.00     0     0    
86     -0.6824      0.4768       2        0.00     0     0    
87     -0.6824      0.4770       2        0.00     0     0    
88     -0.6822      0.4769       1        0.00     0     0    
89     -0.6827      0.4768       3        0.00     0     0    
90     -0.6823      0.4769       1        0.00     0     0    
91     -0.6827      0.4768       1        0.00     0     0    
92     -0.6828      0.4769       3        0.00     0     0    
93     -0.6824      0.4769       3        0.00     0     0    
94     -0.6822      0.4770       3        0.00     0     0    
95     -0.6828      0.4769       3        0.00     0     0    
96     -0.6828      0.4769       3        0.00     0     0    
97     -0.6831      0.4770       2        0.00     0     0    
98     -0.6824      0.4768       1        0.00     0     0    
99     -0.6828      0.4769       3        0.00     0     0    
100    -0.6824      0.4769       3        0.00     0     0    
101    -0.6829      0.4768       1        0.00     0     0    
102    -0.6829      0.4769       3        0.00     0     0    
103    -0.6829      0.4768       1        0.00     0     0    
104    -0.6829      0.4769       3        0.00     0     0    
105    -0.6829      0.4768       2        0.00     0     0    
106    -0.6824      0.4769       2        0.00     0     0    
107    -0.6824      0.4769       2        0.00     0     0    
108    -0.6823      0.4769       1        0.00     0     0    
109    -0.6828      0.4769       3        0.00     0     0    
110    -0.6824      0.4769       3        0.00     0     0    
111    -0.6824      0.4768       1        0.00     0     0    
112    -0.6828      0.4769       2        0.00     0     0    
113    -0.6824      0.4769       2        0.00     0     0    
114    -0.6823      0.4769       1        0.00     0     0    
115    -0.6828      0.4768       3        0.00     0     0    
116    -0.6824      0.4768       1        0.00     0     0    
117    -0.6828      0.4769       0        0.00     0     0    
118    -0.6829      0.4768       0        0.00     0     0    
119    -0.6829      0.4769       0        0.00     0     0    
120    -0.6828      0.4768       1        0.00     0     0    
121    -0.6828      0.4769       0        1.00     0     0    
122    -0.6837      0.4766       0        0.00     0     0    
123    -0.6842      0.4765       1        0.00     0     0    
124    -0.6842      0.4764       1        0.00     0     0    
125    -0.6842      0.4764       1        0.00     0     0    
126    -0.6842      0.4764       1        0.00     0     0    
127    -0.6842      0.4764       0        0.00     0     0    
128    -0.6842      0.4764       2        0.00     0     0    
129    -0.6837      0.4765       1        0.00     0     0    
130    -0.6841      0.4764       1        0.00     0     0    
131    -0.6842      0.4764       0        0.00     0     0    
132    -0.6842      0.4763       0        0.00     0     0    
133    -0.6842      0.4763       3        0.00     0     0    
134    -0.6837      0.4765       3        0.00     0     0    
135    -0.6837      0.4764       2        0.00     0     0    
136    -0.6838      0.4765       2        0.00     0     0    
137    -0.6836      0.4764       2        0.00     0     0    
138    -0.6837      0.4765       3        0.00     0     0    
139    -0.6838      0.4765       3        0.00     0     0    
