return,episode_length
30.0,1066
10.0,795
20.0,1436
0.0,1359
20.0,864
10.0,1386
40.0,1246
10.0,1069
20.0,1358
30.0,1194
30.0,1034
10.0,1240
30.0,936
0.0,1349
30.0,1187
10.0,1102
10.0,1202
40.0,1208
20.0,1266
0.0,1121
40.0,863
90.0,936
20.0,1294
10.0,1199
40.0,875
10.0,1007
0.0,1300
10.0,1292
20.0,1310
0.0,1003
30.0,1206
10.0,1035
10.0,1388
0.0,1043
20.0,1017
0.0,1292
10.0,922
0.0,1013
90.0,1048
10.0,1014
10.0,1167
40.0,1222
20.0,1165
0.0,1242
10.0,1282
0.0,878
10.0,801
30.0,1167
10.0,940
20.0,1199
20.0,1032
10.0,1224
20.0,1264
10.0,1003
10.0,875
0.0,1066
0.0,1114
10.0,1229
0.0,1161
10.0,1163
10.0,987
30.0,1140
20.0,1084
10.0,1374
0.0,1163
10.0,1175
0.0,1211
30.0,1282
10.0,1089
40.0,976
10.0,1085
20.0,1392
40.0,1142
30.0,1006
50.0,1275
30.0,1269
30.0,1048
10.0,1421
30.0,1038
0.0,1571
10.0,1114
30.0,1112
20.0,1076
10.0,1194
0.0,1423
40.0,1034
10.0,1054
10.0,1566
20.0,1318
10.0,708
10.0,1206
0.0,1048
0.0,1301
20.0,1141
30.0,1203
20.0,1223
70.0,1190
10.0,859
20.0,1228
50.0,1039
40.0,1292
10.0,1162
20.0,1302
20.0,1188
20.0,961
0.0,996
0.0,1232
30.0,1306
40.0,1031
0.0,1392
10.0,1085
0.0,1084
20.0,1290
40.0,1156
40.0,911
10.0,955
10.0,1422
10.0,896
20.0,1194
10.0,782
10.0,1066
50.0,1121
0.0,1114
30.0,1390
10.0,770
0.0,1515
20.0,818
0.0,1026
0.0,1250
20.0,1187
30.0,1129
30.0,882
20.0,1294
30.0,977
0.0,1197
60.0,933
20.0,1126
20.0,1206
10.0,961
10.0,904
10.0,813
10.0,1257
